05:02:40 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:02:52 [AccountInfo] Account disconnected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:05:10 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:06:36 [AccountInfo] Account disconnected by clear (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:10:33 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:14:54 [AccountInfo] Account disconnected by clear (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:15:40 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:16:54 [AccountInfo] Account disconnected by clear (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:17:36 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:19:29 [AccountInfo] Account disconnected by clear (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:20:43 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:24:24 [AccountInfo] Account disconnected by clear (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:25:11 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:28:45 [AccountInfo] Account disconnected by clear (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:29:31 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:34:37 [AccountInfo] Account disconnected by clear (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:43:52 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:46:19 [AccountInfo] Account disconnected by clear (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:52:17 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
05:56:13 [AccountInfo] Account disconnected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
06:00:41 [AccountInfo] Account connected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
06:00:46 [AccountInfo] Account disconnected (Account: santiino, IpAddress: 26.89.180.238, GameServerCode: 6)
06:10:44 [AccountInfo] Account connected (Account: pesadelo11, IpAddress: 26.89.180.238, GameServerCode: 6)
