15:24:18 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:24:44 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:25:25 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:25:49 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:27:34 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:27:55 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:28:53 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:29:09 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:29:25 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:29:46 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:29:58 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:30:43 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:31:02 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:31:18 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:31:28 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:31:45 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:31:59 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:32:47 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:33:02 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:33:36 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:34:12 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:34:30 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:34:50 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:35:04 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:36:02 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:36:15 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:36:46 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:37:11 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:37:27 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:38:03 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:38:30 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:38:46 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:39:08 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:39:42 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:39:56 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:40:11 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:40:26 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:40:39 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:41:06 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:41:41 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:41:50 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:42:29 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:42:40 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:42:54 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:43:05 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:43:21 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:48:25 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:50:56 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:51:20 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:51:58 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:52:11 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:52:23 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
15:52:42 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
