16:11:18 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
16:11:38 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
16:12:27 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
16:12:59 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
16:14:46 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
16:15:03 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
16:23:29 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
16:23:53 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
17:01:42 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
17:02:18 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
17:04:02 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
17:04:56 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
17:04:57 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
17:09:04 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
17:10:17 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
17:10:30 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
17:11:35 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
17:11:52 [AccountInfo] Account connected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
17:12:27 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
17:12:52 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
17:12:58 [AccountInfo] Account connected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
17:13:10 [AccountInfo] Account disconnected (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
17:13:20 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:14:28 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:14:29 [AccountInfo] Account disconnected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
17:14:38 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:14:54 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:15:03 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:26:19 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:26:35 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:29:06 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:29:17 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:33:21 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:33:28 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:33:36 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:33:40 [AccountInfo] Account connected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
17:34:12 [AccountInfo] Account disconnected (Account: enctype2, IpAddress: 26.89.180.238, GameServerCode: 6)
17:35:37 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:36:05 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:36:45 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:44:17 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:44:23 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:44:41 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:44:48 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
17:47:48 [AccountInfo] Account disconnected by clear (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
19:18:16 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
19:19:15 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
19:19:26 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
19:28:04 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:21:44 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:25:23 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:25:51 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:31:57 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:33:26 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:34:56 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:37:03 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:37:59 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:38:16 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:40:53 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:41:13 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:45:09 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:51:43 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:54:09 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:55:05 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:58:30 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:59:08 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:59:28 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
20:59:40 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:08:12 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:09:11 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:09:34 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:11:08 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:12:12 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:16:01 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:17:35 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:22:39 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:24:12 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:24:34 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:25:43 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
21:25:56 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
22:31:50 [AccountInfo] Account disconnected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
23:47:08 [AccountInfo] Account connected (Account: enctype, IpAddress: 26.89.180.238, GameServerCode: 6)
